Tamanho da lista,Tempo Médio (s),Lista Ordenada
500,0.00036499000270850956,Ordenada
1000,0.0007948299957206473,Ordenada 
1500,0.0014314199972432107,Ordenada 
2000,0.0017277000064495952,Ordenada 
3000,0.0027459100034320726,Ordenada 
500,0.00039554999966640025,Ordenada
1000,0.000797100001364015,Ordenada
1500,0.0012846300000092016,Ordenada
2000,0.0021110800007591024,Ordenada
3000,0.002893599998787977,Ordenada
500,0.00036411000473890454,Ordenada
1000,0.0012537800008431076,Ordenada
1500,0.001489290001336485,Ordenada
2000,0.002272060001268983,Ordenada
3000,0.002980840002419427,Ordenada
500,0.0003938800044124946,Ordenada
1000,0.0007851399976061657,Ordenada
1500,0.001249419993837364,Ordenada
2000,0.001758970000082627,Ordenada
3000,0.002925710001727566,Ordenada
500,0.0003721899993252009,Ordenada
1000,0.0008503799937898294,Ordenada
1500,0.0016279200033750385,Ordenada
2000,0.0017413600086001678,Ordenada
3000,0.0029216300026746467,Ordenada
500,0.00036743000091519205,Ordenada
1000,0.0007890000037150457,Ordenada
1500,0.0012472700036596507,Ordenada
2000,0.0018841999961296096,Ordenada
3000,0.0026949399994919076,Ordenada
500,0.00042397000652272254,Ordenada
1000,0.0007973300002049655,Ordenada
1500,0.0014079499989748002,Ordenada
2000,0.0017529800010379405,Ordenada
3000,0.0028298900026129557,Ordenada
500,0.0004113900009542704,Ordenada
1000,0.0008149300003424287,Ordenada
1500,0.0012631500023417175,Ordenada
2000,0.0022611600026721133,Ordenada
3000,0.0031340899935457856,Ordenada
500,0.00036356999771669507,Ordenada
1000,0.0008033600053749979,Ordenada
1500,0.0012706900015473366,Ordenada
2000,0.0018736199999693781,Ordenada
3000,0.002915060002123937,Ordenada
500,0.0005573799979174509,Ordenada
1000,0.0015834600024390965,Ordenada
1500,0.0018575500085717066,Ordenada
2000,0.0018450100033078343,Ordenada
3000,0.003293889996712096,Ordenada
500,0.00040087999659590425,Ordenada
1000,0.000839029997587204,Ordenada
1500,0.0015811500052222982,Ordenada
2000,0.0021269299963023514,Ordenada
3000,0.003663969997433014,Ordenada
500,0.0003689899982418865,Ordenada
1000,0.0008023700036574155,Ordenada
1500,0.001264570004423149,Ordenada
2000,0.0018852899956982583,Ordenada
3000,0.0027279799978714436,Ordenada
500,0.00037328999896999446,Ordenada
1000,0.0008540699986042455,Ordenada
1500,0.0016520799981663004,Ordenada
2000,0.001728729996830225,Ordenada
3000,0.0030081600067205726,Ordenada
500,0.0004266199946869165,Ordenada
1000,0.000948830001289025,Ordenada
1500,0.0012594399973750114,Ordenada
2000,0.0019088800036115572,Ordenada
3000,0.0028439600020647047,Ordenada
500,0.0003592000022763386,Ordenada
1000,0.0007888500054832548,Ordenada
1500,0.0013679299998329952,Ordenada
2000,0.0017473600077209995,Ordenada
3000,0.003061310001066886,Ordenada
500,0.0003745799942407757,Ordenada
1000,0.000801260003936477,Ordenada
1500,0.001402629999211058,Ordenada
2000,0.0019495199987431989,Ordenada
3000,0.0027636000013444573,Ordenada
500,0.00035839999909512696,Ordenada
1000,0.0008569100027671084,Ordenada
1500,0.001335220003966242,Ordenada
2000,0.0017834899917943403,Ordenada
3000,0.0030080599972279742,Ordenada
500,0.0004824300034670159,Ordenada
1000,0.0008147200045641511,Ordenada
1500,0.00126070000405889,Ordenada
2000,0.002095129992812872,Ordenada
3000,0.0026974900072673337,Ordenada
500,0.00035551000328268854,Ordenada
1000,0.0008121899940306321,Ordenada
1500,0.001234899990959093,Ordenada
2000,0.003375539998523891,Ordenada
3000,0.0027991199982352554,Ordenada
500,0.0003771099931327626,Ordenada
1000,0.000809229991864413,Ordenada
1500,0.0012338400032604114,Ordenada
2000,0.001782700003241189,Ordenada
3000,0.002879979996941984,Ordenada
500,0.00036308999988250435,Ordenada
1000,0.000859189999755472,Ordenada
1500,0.001450210000621155,Ordenada
2000,0.0018484200001694262,Ordenada
3000,0.003186320001259446,Ordenada
500,0.0003833099995972589,Ordenada
1000,0.0008492000022670254,Ordenada
1500,0.001248250002390705,Ordenada
2000,0.0018862899945816026,Ordenada
3000,0.0032843699998920785,Ordenada
500,0.00036040999402757733,Ordenada
1000,0.0008245400036685169,Ordenada
1500,0.0012394999997923152,Ordenada
2000,0.001832859992282465,Ordenada
3000,0.0029560499970102683,Ordenada
500,0.0005444700043881312,Ordenada
1000,0.000981389990192838,Ordenada
1500,0.001304989992058836,Ordenada
2000,0.0017493400024250149,Ordenada
3000,0.00278719000343699,Ordenada
500,0.00039677000022493304,Ordenada
1000,0.0009764200018253178,Ordenada
1500,0.0013295100012328475,Ordenada
2000,0.0017708199971821158,Ordenada
3000,0.003043390001403168,Ordenada
500,0.00039299000345636157,Ordenada
1000,0.0009493100020335987,Ordenada
1500,0.0015483100025448949,Ordenada
2000,0.0017313000018475578,Ordenada
3000,0.0027636999991955237,Ordenada
500,0.0003879900003084913,Ordenada
1000,0.0008172300003934652,Ordenada
1500,0.0015625300002284348,Ordenada
2000,0.0017921699938597158,Ordenada
3000,0.0029093700024532152,Ordenada
500,0.00036426000006031247,Ordenada
1000,0.0008254499960457906,Ordenada
1500,0.0014708699978655203,Ordenada
2000,0.0017392099951393902,Ordenada
