Tamanho da lista,Tempo Médio (s),Lista Ordenada
500,0.000513819998013787,Desordenada
1000,0.0013319999969098717,Desordenada
1500,0.001840750005794689,Desordenada
2000,0.0028430699981981888,Desordenada
3000,0.005535189996589906,Desordenada
500,0.0005314799986081198,Desordenada
1000,0.0010932199977105484,Desordenada
1500,0.0020092499937163664,Desordenada
2000,0.0025847500015515833,Desordenada
3000,0.0036995100002968685,Desordenada
500,0.0006849700002931058,Desordenada
1000,0.0013309999980265276,Desordenada
1500,0.0019209099962608888,Desordenada
2000,0.002621719997841865,Desordenada
3000,0.004258149993256665,Desordenada
500,0.0005234399926848709,Desordenada
1000,0.0012496499955886974,Desordenada
1500,0.0017821499990532176,Desordenada
2000,0.002343579998705536,Desordenada
3000,0.00407730000151787,Desordenada
500,0.0004681199992774054,Desordenada
1000,0.001165699993725866,Desordenada
1500,0.0017716199916321784,Desordenada
2000,0.002558609991683625,Desordenada
3000,0.004211049998411908,Desordenada
500,0.0004841200046939775,Desordenada
1000,0.0012970999989192933,Desordenada
1500,0.0017118099989602343,Desordenada
2000,0.0023433299938915297,Desordenada
3000,0.004054149996954947,Desordenada
500,0.0006365200009895488,Desordenada
1000,0.0012440100050298496,Desordenada
1500,0.0021128299966221677,Desordenada
2000,0.002582459998666309,Desordenada
3000,0.0037593900022329764,Desordenada
500,0.0005453199933981523,Desordenada
1000,0.0010875400039367378,Desordenada
1500,0.0017725800018524752,Desordenada
2000,0.0027193100017029793,Desordenada
3000,0.003834969995659776,Desordenada
500,0.0005480299965711311,Desordenada
1000,0.001081269996939227,Desordenada
1500,0.001966519997222349,Desordenada
2000,0.002694860001793131,Desordenada
3000,0.004110510001191869,Desordenada
500,0.0005097799963550642,Desordenada
1000,0.0010651999968104065,Desordenada
1500,0.0017399600008502602,Desordenada
2000,0.00232615000277292,Desordenada
3000,0.0037662599934265018,Desordenada
500,0.0005263599974568933,Desordenada
1000,0.001069280001684092,Desordenada
1500,0.0019099600001936778,Desordenada
2000,0.0027599699998972936,Desordenada
3000,0.004413849994307384,Desordenada
500,0.00045700999326072635,Desordenada
1000,0.0010006499971495942,Desordenada
1500,0.00176103999838233,Desordenada
2000,0.00310618000512477,Desordenada
3000,0.004031730000860989,Desordenada
500,0.0005091600003652274,Desordenada
1000,0.0010879899957217277,Desordenada
1500,0.0022649899969110266,Desordenada
2000,0.0026217799953883515,Desordenada
3000,0.0036293999961344524,Desordenada
500,0.0006947799964109435,Desordenada
1000,0.0011842699983390047,Desordenada
1500,0.0017169200000353158,Desordenada
2000,0.002358440004172735,Desordenada
3000,0.004478219995507971,Desordenada
500,0.00048142000159714373,Desordenada
1000,0.0010977000027196481,Desordenada
1500,0.0017141399992397055,Desordenada
2000,0.0025015699968207626,Desordenada
3000,0.003640620005899109,Desordenada
500,0.000631030002841726,Desordenada
1000,0.001068679994205013,Desordenada
1500,0.001871699999901466,Desordenada
2000,0.002625140003510751,Desordenada
3000,0.004056480005965568,Desordenada
500,0.0005330599989974872,Desordenada
1000,0.0010481300036190079,Desordenada
1500,0.0017073399969376624,Desordenada
2000,0.002747159998398274,Desordenada
3000,0.004185349997715093,Desordenada
500,0.0005140299996128306,Desordenada
1000,0.0011454600025899708,Desordenada
1500,0.0020327200036263093,Desordenada
2000,0.002538689997163601,Desordenada
3000,0.004143379998276941,Desordenada
500,0.00048450000176671895,Desordenada
1000,0.0010667199996532873,Desordenada
1500,0.001947730005485937,Desordenada
2000,0.002464250003686175,Desordenada
3000,0.003969070003950037,Desordenada
500,0.0006038399995304644,Desordenada
1000,0.0012465299951145425,Desordenada
1500,0.0018378800043137745,Desordenada
2000,0.0024060399999143557,Desordenada
3000,0.004198410001117736,Desordenada
500,0.0004887899995082989,Desordenada
1000,0.0012257999944267795,Desordenada
1500,0.001895860000513494,Desordenada
2000,0.0025575900013791396,Desordenada
3000,0.00419324999966193,Desordenada
500,0.0005929300037678331,Desordenada
1000,0.0010956899961456657,Desordenada
1500,0.0020119100023293867,Desordenada
2000,0.0025753599999006837,Desordenada
3000,0.004142190006677993,Desordenada
500,0.00047016999742481856,Desordenada
1000,0.0012066699971910566,Desordenada
1500,0.0020778899983270095,Desordenada
2000,0.0028976099914871157,Desordenada
3000,0.0041589800035581,Desordenada
500,0.00048415999626740815,Desordenada
1000,0.0011432400002377107,Desordenada
1500,0.0018325600016396494,Desordenada
2000,0.0025999800011049954,Desordenada
3000,0.004864490003092215,Desordenada
500,0.0005521399987628683,Desordenada
1000,0.0012259000010089948,Desordenada
1500,0.0017805399984354153,Desordenada
2000,0.0026792699936777353,Desordenada
3000,0.004305129995918833,Desordenada
500,0.0005157000035978853,Desordenada
1000,0.0010270200058585034,Desordenada
1500,0.0021356800076318904,Desordenada
2000,0.0025882699963403867,Desordenada
3000,0.003949320001993328,Desordenada
500,0.00047844000218901785,Desordenada
1000,0.0011613499984377996,Desordenada
1500,0.0017864399997051805,Desordenada
2000,0.002442420009174384,Desordenada
3000,0.004149209996103309,Desordenada
500,0.00046731999900657685,Desordenada
1000,0.0010287099954439326,Desordenada
1500,0.0020283700025174765,Desordenada
2000,0.0025055100035388024,Desordenada
3000,0.004045199995744042,Desordenada
500,0.00047352998808491975,Desordenada
1000,0.0012859099981142208,Desordenada
1500,0.001856729999417439,Desordenada
2000,0.002592950005782768,Desordenada
3000,0.004033449996495619,Desordenada
500,0.0005304399994201959,Desordenada
1000,0.001092120003886521,Desordenada
1500,0.0018043999996734783,Desordenada
2000,0.002828219998627901,Desordenada
3000,0.004039020003983751,Desordenada
500,0.00048592000384815035,Desordenada
1000,0.0011581100028706715,Desordenada
1500,0.0017385799990734085,Desordenada
2000,0.0027823400043416767,Desordenada
3000,0.003971409995574504,Desordenada
500,0.0005510499991942197,Desordenada
1000,0.0012305400043260307,Desordenada
1500,0.002115140002570115,Desordenada
2000,0.0025384600041434167,Desordenada
3000,0.0038909099966986105,Desordenada
500,0.0005345199984731153,Desordenada
1000,0.0010867400036659093,Desordenada
1500,0.0016619500034721567,Desordenada
2000,0.0028299599944148213,Desordenada
3000,0.003830509996623732,Desordenada
500,0.0005058100068708882,Desordenada
1000,0.0011180499976035207,Desordenada
1500,0.0017330399976344779,Desordenada
2000,0.002441219994216226,Desordenada
3000,0.004318789998069406,Desordenada
500,0.0004717200034065172,Desordenada
1000,0.0010874100058572366,Desordenada
1500,0.001844300000811927,Desordenada
2000,0.0026179700042121114,Desordenada
3000,0.0038291300006676465,Desordenada
500,0.0005031200009398163,Desordenada
1000,0.0010376400023233145,Desordenada
1500,0.0017786100041121244,Desordenada
2000,0.0024219299957621843,Desordenada
3000,0.004153160002897493,Desordenada
500,0.0004718700045486912,Desordenada
1000,0.001107649996993132,Desordenada
1500,0.0017141399963293224,Desordenada
2000,0.0026385500008473174,Desordenada
3000,0.0038155000016558915,Desordenada
500,0.0004592000012053177,Desordenada
1000,0.0011762800015276298,Desordenada
1500,0.0018788100016536192,Desordenada
2000,0.0023209700040752066,Desordenada
3000,0.004112119993078522,Desordenada
500,0.0006083899992518127,Desordenada
1000,0.0011487899901112542,Desordenada
1500,0.002019899996230379,Desordenada
2000,0.002682259998982772,Desordenada
3000,0.004076190001796931,Desordenada
500,0.00048639000451657923,Desordenada
1000,0.0010964899993268773,Desordenada
1500,0.0017938000033609568,Desordenada
2000,0.002631879996624775,Desordenada
3000,0.003817209994303994,Desordenada
500,0.000510989993927069,Desordenada
1000,0.0011771099991165102,Desordenada
1500,0.001867710001533851,Desordenada
2000,0.0027594099927227946,Desordenada
3000,0.004335869994247332,Desordenada
500,0.0006258200039155782,Desordenada
1000,0.0012806200014892966,Desordenada
1500,0.0017638299963437022,Desordenada
2000,0.002708670002175495,Desordenada
3000,0.00415096000651829,Desordenada
500,0.0006541999988257885,Desordenada
1000,0.0011460899986559525,Desordenada
1500,0.001759850006783381,Desordenada
2000,0.0028782099980162457,Desordenada
3000,0.0038007299997843804,Desordenada
500,0.0006886400020448491,Desordenada
1000,0.0015766399941639976,Desordenada
1500,0.002560540000558831,Desordenada
2000,0.002860769996186718,Desordenada
3000,0.0038553399994270877,Desordenada
500,0.0006178199953865259,Desordenada
1000,0.0012107000016840174,Desordenada
1500,0.0016979999956674874,Desordenada
2000,0.002914639996015467,Desordenada
3000,0.0036787200107937677,Desordenada
500,0.0005257100012386218,Desordenada
1000,0.0011314400006085634,Desordenada
1500,0.0018388200027402491,Desordenada
2000,0.002329280000412837,Desordenada
3000,0.004145440002321266,Desordenada
500,0.0005094500025734306,Desordenada
1000,0.001232239999808371,Desordenada
