Tamanho da lista,Tempo Médio (s),Lista Ordenada
500,0.00047138999798335135,Desordenada
1000,0.0011255599994910881,Desordenada
1500,0.0016301900031976402,Desordenada
2000,0.0026534699980402367,Desordenada
3000,0.0044710300076985735,Desordenada
500,0.0004582099994877353,Desordenada
1000,0.0009847199980868027,Desordenada
1500,0.00167422000085935,Desordenada
2000,0.002209039992885664,Desordenada
3000,0.00399360999581404,Desordenada
500,0.000461369997356087,Desordenada
1000,0.0010287700075423344,Desordenada
1500,0.0015942899975925685,Desordenada
2000,0.0022522299987031147,Desordenada
3000,0.0039761100051691756,Desordenada
500,0.0005459000007249415,Desordenada
1000,0.0010975000070175156,Desordenada
1500,0.0017084900056943298,Desordenada
2000,0.00266631999402307,Desordenada
3000,0.003621349998866208,Desordenada
500,0.0005524200008949265,Desordenada
1000,0.0009815199970034882,Desordenada
1500,0.0015594800002872943,Desordenada
2000,0.0021529500023461877,Desordenada
3000,0.0037458600010722874,Desordenada
500,0.0005838500044774264,Desordenada
1000,0.0013307399989571423,Desordenada
1500,0.0016406699985964223,Desordenada
2000,0.0022867499967105685,Desordenada
3000,0.0036459900002228096,Desordenada
500,0.0004540200054179877,Desordenada
1000,0.0011712799983797594,Desordenada
1500,0.0015843500004848465,Desordenada
2000,0.00277086999558378,Desordenada
3000,0.003607690002536401,Desordenada
500,0.0005702699971152469,Desordenada
1000,0.000982030003797263,Desordenada
1500,0.0015338100027292966,Desordenada
2000,0.0026505099958740175,Desordenada
3000,0.00356399999873247,Desordenada
500,0.0004360200022347271,Desordenada
1000,0.001004550000652671,Desordenada
1500,0.001721160000306554,Desordenada
2000,0.0023632399999769403,Desordenada
3000,0.0036978600022848696,Desordenada
500,0.0005658799957018346,Desordenada
1000,0.0009649400046328083,Desordenada
1500,0.0016189500049222261,Desordenada
2000,0.002421649996540509,Desordenada
3000,0.0035234299954026937,Desordenada
500,0.0004279900051187724,Desordenada
1000,0.0010072999953990801,Desordenada
1500,0.0018792000046232715,Desordenada
2000,0.0023507899983087554,Desordenada
3000,0.0035724900022614746,Desordenada
500,0.0006156399991596118,Desordenada
1000,0.0011301900027319788,Desordenada
1500,0.002108929998939857,Desordenada
2000,0.0025330000062240288,Desordenada
3000,0.003970689998823218,Desordenada
500,0.0004530800069915131,Desordenada
1000,0.0009820399980526417,Desordenada
1500,0.0016517600044608117,Desordenada
2000,0.0024876800016500056,Desordenada
3000,0.003533759998390451,Desordenada
500,0.0005418399989139289,Desordenada
1000,0.0009918699943227693,Desordenada
1500,0.0016243600024608896,Desordenada
2000,0.0026321600016672164,Desordenada
3000,0.003406239999458194,Desordenada
500,0.0004999500000849366,Desordenada
1000,0.0009494299971265719,Desordenada
1500,0.0016844600031618029,Desordenada
2000,0.0022866500017698853,Desordenada
3000,0.003536759997950867,Desordenada
500,0.0005476700025610626,Desordenada
1000,0.001148539999849163,Desordenada
1500,0.0017379999975673855,Desordenada
2000,0.002298669994343072,Desordenada
3000,0.00350592999602668,Desordenada
500,0.00043212000164203344,Desordenada
1000,0.0009853699913946912,Desordenada
1500,0.0016432400036137552,Desordenada
2000,0.00233602000225801,Desordenada
3000,0.0037127500079805033,Desordenada
500,0.00044025999668519946,Desordenada
