Tamanho da lista,Tempo Médio (s),
500,0.00451544999377802,Desordenada
1000,0.018609739997191354,Desordenada
1500,0.039591130008921026,Desordenada
2000,0.06860546000534669,Desordenada
3000,0.15359159000217915,Desordenada
500,0.003927788006840274,Desordenada
1000,0.016919557999353855,Desordenada
1500,0.03841912199975923,Desordenada
2000,0.06907081399927847,Desordenada
3000,0.15621539800078607,Desordenada
500,0.003882829996291548,Desordenada
1000,0.016885360004380345,Desordenada
1500,0.03909195000305772,Desordenada
2000,0.06746537000872195,Desordenada
3000,0.15719888000166976,Desordenada
500,0.003888329991605133,Desordenada
1000,0.016400380001869053,Desordenada
1500,0.0384768599877134,Desordenada
2000,0.06753866000217386,Desordenada
3000,0.1542532399937045,Desordenada
500,0.003946339996764437,Desordenada
1000,0.016937589994631706,Desordenada
1500,0.03816844000830315,Desordenada
2000,0.06774897000286728,Desordenada
3000,0.1551937800075393,Desordenada
500,0.003890059975674376,Desordenada
1000,0.01677471999428235,Desordenada
1500,0.038452910009073096,Desordenada
2000,0.06783515000715852,Desordenada
3000,0.1571427900053095,Desordenada
500,0.004027870006393641,Desordenada
1000,0.016958719986723735,Desordenada
1500,0.03920937999500893,Desordenada
2000,0.06842900999472476,Desordenada
3000,0.15477255000150764,Desordenada
500,0.004016269993735477,Desordenada
1000,0.016928989987354724,Desordenada
1500,0.03751230999478139,Desordenada
2000,0.06838455000543035,Desordenada
3000,0.1574708400061354,Desordenada
500,0.003829919995041564,Desordenada
1000,0.016099119995487854,Desordenada
1500,0.037996499997098,Desordenada
2000,0.06783668000716717,Desordenada
3000,0.163248999993084,Desordenada
500,0.004040810000151396,Desordenada
1000,0.017010210012085736,Desordenada
1500,0.03851429001078941,Desordenada
2000,0.0675463400024455,Desordenada
3000,0.15349974000127986,Desordenada
500,0.0038597400009166448,Desordenada
1000,0.01682374999509193,Desordenada
1500,0.040070110000669956,Desordenada
2000,0.06960181999602355,Desordenada
3000,0.15423277000081725,Desordenada
500,0.004033050005091354,Desordenada
1000,0.016905670007690787,Desordenada
1500,0.04083354000467807,Desordenada
2000,0.06764564000768587,Desordenada
3000,0.1562655800022185,Desordenada
500,0.0038671899994369595,Desordenada
1000,0.016870990005554632,Desordenada
1500,0.038787669991143046,Desordenada
2000,0.07063509001163766,Desordenada
3000,0.1540304600202944,Desordenada
500,0.004021340009057894,Desordenada
1000,0.01793265000451356,Desordenada
1500,0.03970010000630282,Desordenada
2000,0.07202327001141384,Desordenada
3000,0.15945083001279273,Desordenada
500,0.004245279997121543,Desordenada
1000,0.01701907000388019,Desordenada
1500,0.03859440000960603,Desordenada
2000,0.06906436000135727,Desordenada
3000,0.15910379000706598,Desordenada
500,0.003931700007524341,Desordenada
1000,0.017031019984278827,Desordenada
1500,0.03857882000738755,Desordenada
2000,0.06838197999168187,Desordenada
3000,0.15637572999694385,Desordenada
500,0.004049960005795583,Desordenada
1000,0.016747420001775027,Desordenada
1500,0.03790933000273071,Desordenada
2000,0.06809618999832309,Desordenada
3000,0.1548540200048592,Desordenada
500,0.004629150003893301,Desordenada
1000,0.01866653000470251,Desordenada
1500,0.041596750007011,Desordenada
2000,0.07253965999698267,Desordenada
3000,0.15468966998741962,Desordenada
500,0.003969059995142743,Desordenada
1000,0.01733278000028804,Desordenada
1500,0.0381831599981524,Desordenada
2000,0.0686858200118877,Desordenada
3000,0.1562171799945645,Desordenada
500,0.003961700014770031,Desordenada
1000,0.016737619991181417,Desordenada
1500,0.03781290000770241,Desordenada
2000,0.06849913999903948,Desordenada
3000,0.15354297998710537,Desordenada
500,0.0038967400032561272,Desordenada
1000,0.016734700015513228,Desordenada
1500,0.03878616999718361,Desordenada
2000,0.06832799999392591,Desordenada
3000,0.16128646999713964,Desordenada
500,0.003978319989982992,Desordenada
1000,0.01678169999504462,Desordenada
1500,0.038221979991067204,Desordenada
2000,0.06867838999605738,Desordenada
3000,0.15604235000209882,Desordenada
500,0.0040241300011985,Desordenada
1000,0.01695097000338137,Desordenada
1500,0.038330089999362826,Desordenada
2000,0.06813586000353097,Desordenada
3000,0.15539196000318042,Desordenada
500,0.003966640011640266,Desordenada
1000,0.01751243000617251,Desordenada
1500,0.03882836000411771,Desordenada
2000,0.06837860001251102,Desordenada
3000,0.1546897199936211,Desordenada
500,0.003929429996060207,Desordenada
1000,0.016285570000763982,Desordenada
1500,0.03801810999284498,Desordenada
2000,0.06779206001083367,Desordenada
3000,0.15515290999901482,Desordenada
500,0.00395172000862658,Desordenada
1000,0.016740149992983788,Desordenada
1500,0.03773196000838652,Desordenada
2000,0.06755354000488296,Desordenada
3000,0.15467923000687733,Desordenada
500,0.004053939995355904,Desordenada
1000,0.018095519999042152,Desordenada
1500,0.037725999997928736,Desordenada
2000,0.06815634000231512,Desordenada
3000,0.1543956500070635,Desordenada
500,0.004024289996596053,Desordenada
1000,0.017054579977411777,Desordenada
1500,0.041043870005523786,Desordenada
2000,0.06828261999762616,Desordenada
3000,0.15761492000892757,Desordenada
500,0.003912020014831796,Desordenada
1000,0.017250960000092165,Desordenada
1500,0.037720389995956796,Desordenada
2000,0.06866354999947362,Desordenada
3000,0.1546172900008969,Desordenada
500,0.004009069997118786,Desordenada
1000,0.017017989995656534,Desordenada
1500,0.03827574999304488,Desordenada
2000,0.06847641000058502,Desordenada
3000,0.1551342700025998,Desordenada
500,0.003966209996724502,Desordenada
1000,0.016660339990630747,Desordenada
1500,0.03802068999502808,Desordenada
2000,0.06806639999849722,Desordenada
3000,0.15536283999099396,Desordenada
500,0.003943310002796352,Desordenada
1000,0.016894620005041362,Desordenada
1500,0.03820266998372972,Desordenada
2000,0.06785798999480903,Desordenada
3000,0.1557731699955184,Desordenada
500,0.0040166900027543305,Desordenada
1000,0.016630090010585262,Desordenada
1500,0.03880265999468975,Desordenada
2000,0.06837900998070837,Desordenada
3000,0.1579157599946484,Desordenada
500,0.006016830011503771,Desordenada
1000,0.016983170004095882,Desordenada
1500,0.04163560998858884,Desordenada
2000,0.06931406999356113,Desordenada
3000,0.1596465500071645,Desordenada
500,0.0039028000086545945,Desordenada
1000,0.016930710000451654,Desordenada
1500,0.03872983998735435,Desordenada
2000,0.07595700000529178,Desordenada
3000,0.15620538001530804,Desordenada
500,0.003932320006424561,Desordenada
1000,0.017073410004377364,Desordenada
1500,0.03836672999896109,Desordenada
2000,0.06838312000618316,Desordenada
3000,0.15557217999594286,Desordenada
500,0.003956759988795966,Desordenada
1000,0.01672783000394702,Desordenada
1500,0.038434620009502395,Desordenada
2000,0.06751592000364326,Desordenada
3000,0.15557656000019052,Desordenada
500,0.003991939994739369,Desordenada
1000,0.019808910001302138,Desordenada
1500,0.0392805999959819,Desordenada
2000,0.06927676998893731,Desordenada
3000,0.15987099998746998,Desordenada
