Tamanho da lista,Tempo Médio (s),Lista Ordenada
500,0.007511160004651174,Ordenada ao contrário
1000,0.0324602100008633,Ordenada ao contrário
1500,0.07437913999310694,Ordenada ao contrário
2000,0.13837828001123853,Ordenada ao contrário
3000,0.3070298200007528,Ordenada ao contrário
500,0.007640349998837337,Ordenada ao contrário
1000,0.032261379994452,Ordenada ao contrário
1500,0.07491230999003165,Ordenada ao contrário
2000,0.13428656000760383,Ordenada ao contrário
3000,0.3087556199985556,Ordenada ao contrário
500,0.007642590015893802,Ordenada ao contrário
1000,0.03302084000315517,Ordenada ao contrário
1500,0.07557364000822417,Ordenada ao contrário
2000,0.13500458000926302,Ordenada ao contrário
3000,0.307395099994028,Ordenada ao contrário
500,0.007581659994320944,Ordenada ao contrário
1000,0.03288900998886675,Ordenada ao contrário
1500,0.07421657000086271,Ordenada ao contrário
2000,0.13431964000337757,Ordenada ao contrário
3000,0.30610435000271535,Ordenada ao contrário
500,0.00781016000546515,Ordenada ao contrário
1000,0.03240883998805657,Ordenada ao contrário
1500,0.07537956000305712,Ordenada ao contrário
2000,0.13493763000005857,Ordenada ao contrário
3000,0.3073903599928599,Ordenada ao contrário
500,0.007550049998098984,Ordenada ao contrário
1000,0.03296841999399476,Ordenada ao contrário
1500,0.07551259001484141,Ordenada ao contrário
2000,0.13442879000795074,Ordenada ao contrário
3000,0.3056265000079293,Ordenada ao contrário
500,0.007593829993857071,Ordenada ao contrário
1000,0.032552569994004445,Ordenada ao contrário
1500,0.0745859099959489,Ordenada ao contrário
2000,0.1338558399991598,Ordenada ao contrário
3000,0.30547767999232744,Ordenada ao contrário
500,0.007919500005664304,Ordenada ao contrário
1000,0.03288622000254691,Ordenada ao contrário
1500,0.07399516000295989,Ordenada ao contrário
2000,0.1337376400071662,Ordenada ao contrário
3000,0.30769421998411417,Ordenada ao contrário
500,0.007459139998536557,Ordenada ao contrário
1000,0.03469455999438651,Ordenada ao contrário
1500,0.07889383999863639,Ordenada ao contrário
2000,0.13349330999189987,Ordenada ao contrário
3000,0.3071186399960425,Ordenada ao contrário
500,0.007563459995435551,Ordenada ao contrário
1000,0.032372900011250746,Ordenada ao contrário
1500,0.07489800999173894,Ordenada ao contrário
2000,0.13478375999839046,Ordenada ao contrário
3000,0.3086254800029565,Ordenada ao contrário
500,0.007475019997218624,Ordenada ao contrário
1000,0.033133000001544136,Ordenada ao contrário
1500,0.07375778998830355,Ordenada ao contrário
2000,0.13509369000094013,Ordenada ao contrário
3000,0.3064489600074012,Ordenada ao contrário
500,0.007713060022797436,Ordenada ao contrário
1000,0.03284966999199242,Ordenada ao contrário
1500,0.07520019999356009,Ordenada ao contrário
2000,0.13321380000561475,Ordenada ao contrário
3000,0.3049148699908983,Ordenada ao contrário
500,0.007593450002605096,Ordenada ao contrário
1000,0.03247950000804849,Ordenada ao contrário
1500,0.07429473000811412,Ordenada ao contrário
2000,0.1344214899931103,Ordenada ao contrário
3000,0.3077560799953062,Ordenada ao contrário
500,0.00762871999759227,Ordenada ao contrário
1000,0.03227422999916598,Ordenada ao contrário
1500,0.07450676999869757,Ordenada ao contrário
2000,0.13360473000211642,Ordenada ao contrário
3000,0.30608487000572493,Ordenada ao contrário
500,0.007667930005118251,Ordenada ao contrário
1000,0.033853170013753695,Ordenada ao contrário
1500,0.07447696000454015,Ordenada ao contrário
2000,0.1344079500064254,Ordenada ao contrário
3000,0.3043208800139837,Ordenada ao contrário
500,0.007580849993973971,Ordenada ao contrário
1000,0.032205850002355874,Ordenada ao contrário
1500,0.07542031999910251,Ordenada ao contrário
2000,0.13318131999694743,Ordenada ao contrário
3000,0.3074345800036099,Ordenada ao contrário
500,0.00766948998789303,Ordenada ao contrário
1000,0.03262583001051098,Ordenada ao contrário
1500,0.07437071999302133,Ordenada ao contrário
2000,0.13752032000920736,Ordenada ao contrário
3000,0.31309429001412353,Ordenada ao contrário
500,0.007626529998378828,Ordenada ao contrário
1000,0.032627830002456906,Ordenada ao contrário
1500,0.07844757001148536,Ordenada ao contrário
2000,0.1370505700004287,Ordenada ao contrário
3000,0.30748722999123856,Ordenada ao contrário
500,0.0078081200073938815,Ordenada ao contrário
1000,0.033429090003483,Ordenada ao contrário
1500,0.07571761999279261,Ordenada ao contrário
2000,0.13441998001071626,Ordenada ao contrário
3000,0.3074451399908867,Ordenada ao contrário
500,0.007906170003116131,Ordenada ao contrário
1000,0.03361571000423282,Ordenada ao contrário
1500,0.0754266399948392,Ordenada ao contrário
2000,0.13455675999866798,Ordenada ao contrário
3000,0.30730732998927124,Ordenada ao contrário
500,0.007629299996187911,Ordenada ao contrário
1000,0.032324780005728825,Ordenada ao contrário
1500,0.07602003999636509,Ordenada ao contrário
2000,0.13636594000272453,Ordenada ao contrário
3000,0.3101181299891323,Ordenada ao contrário
500,0.007748659991193563,Ordenada ao contrário
1000,0.033080379996681585,Ordenada ao contrário
1500,0.07664734999416396,Ordenada ao contrário
2000,0.13524300000281073,Ordenada ao contrário
3000,0.30957265000324696,Ordenada ao contrário
500,0.007823069993173703,Ordenada ao contrário
