Tamanho da lista,Tempo Médio (s),Lista Ordenada
500,9.268999565392733e-05,Desordenada
1000,0.00018674002494663,Desordenada
1500,0.00026272000977769496,Desordenada
2000,0.00038919999497011304,Desordenada
3000,0.0005423199967481196,Desordenada
500,8.658000733703375e-05,Desordenada
1000,0.00019589998992159964,Desordenada
1500,0.0002912500058300793,Desordenada
2000,0.0003193700220435858,Desordenada
3000,0.0005108599667437375,Desordenada
500,8.516999660059809e-05,Desordenada
1000,0.0001911899773404002,Desordenada
1500,0.0002533000078983605,Desordenada
2000,0.0004323699977248907,Desordenada
3000,0.0005812400020658969,Desordenada
500,7.729999488219619e-05,Desordenada
1000,0.00019434000132605432,Desordenada
1500,0.00027703000232577325,Desordenada
2000,0.00039696001913398505,Desordenada
3000,0.0005214899778366089,Desordenada
500,7.798000006005168e-05,Desordenada
1000,0.00019544000970199703,Desordenada
1500,0.00025108999107033015,Desordenada
2000,0.0003590500098653138,Desordenada
3000,0.0005445899907499552,Desordenada
500,8.557997643947602e-05,Desordenada
1000,0.0001842099940404296,Desordenada
1500,0.00027609001845121386,Desordenada
2000,0.0003565100021660328,Desordenada
3000,0.0005423699738457799,Desordenada
500,8.898002561181783e-05,Desordenada
1000,0.00015852999640628696,Desordenada
1500,0.000259569997433573,Desordenada
2000,0.000337349995970726,Desordenada
3000,0.00045403999974951147,Desordenada
500,0.0001402800320647657,Desordenada
1000,0.0002701900084502995,Desordenada
1500,0.00027564000338315965,Desordenada
2000,0.00037530999397858975,Desordenada
3000,0.0005092299892567098,Desordenada
500,9.398998226970435e-05,Desordenada
1000,0.00016029000980779528,Desordenada
1500,0.0002449300023727119,Desordenada
2000,0.0003072499763220549,Desordenada
3000,0.000504869979340583,Desordenada
500,8.066000882536172e-05,Desordenada
1000,0.00015861999709159135,Desordenada
1500,0.00033519999124109745,Desordenada
2000,0.0003394299652427435,Desordenada
3000,0.00047866998938843607,Desordenada
500,7.401000475510955e-05,Desordenada
1000,0.0001594000030308962,Desordenada
1500,0.0002626200090162456,Desordenada
2000,0.0003119699889793992,Desordenada
3000,0.0006078599952161312,Desordenada
500,8.25500232167542e-05,Desordenada
1000,0.00017247000942006708,Desordenada
1500,0.0002513400046154857,Desordenada
2000,0.00034624998224899175,Desordenada
3000,0.000548090017400682,Desordenada
500,0.00010429999092593789,Desordenada
1000,0.00016018999740481378,Desordenada
1500,0.0002940000151284039,Desordenada
2000,0.0004078300087712705,Desordenada
3000,0.0005872699664905667,Desordenada
500,8.13600025139749e-05,Desordenada
1000,0.00015765000134706497,Desordenada
1500,0.00029916000785306095,Desordenada
2000,0.00034924998180940747,Desordenada
3000,0.0005536400130949914,Desordenada
