Tamanho da lista,Tempo Médio (s),Lista Ordenada
500,0.006343640002887696,Ordenada ao contrário
1000,0.027514030004385858,Ordenada ao contrário
1500,0.06474823999451473,Ordenada ao contrário
2000,0.10732740001985804,Ordenada ao contrário
3000,0.2361479299957864,Ordenada ao contrário
500,0.006971829989925027,Ordenada ao contrário
1000,0.026679940009489655,Ordenada ao contrário
1500,0.06053642001934349,Ordenada ao contrário
2000,0.1075863100006245,Ordenada ao contrário
3000,0.24362583997426554,Ordenada ao contrário
500,0.006271110032685101,Ordenada ao contrário
1000,0.02604772998020053,Ordenada ao contrário
1500,0.0582078899955377,Ordenada ao contrário
2000,0.10409029998118058,Ordenada ao contrário
3000,0.23464066999731586,Ordenada ao contrário
500,0.006358370010275394,Ordenada ao contrário
1000,0.025725439994130284,Ordenada ao contrário
1500,0.057468920026440176,Ordenada ao contrário
2000,0.10342426000861452,Ordenada ao contrário
3000,0.23128542999038473,Ordenada ao contrário
500,0.006208839977625757,Ordenada ao contrário
1000,0.02578208998311311,Ordenada ao contrário
1500,0.05788137998897582,Ordenada ao contrário
2000,0.10391401998931542,Ordenada ao contrário
3000,0.2338011199957691,Ordenada ao contrário
500,0.006465990003198386,Ordenada ao contrário
1000,0.025495559989940374,Ordenada ao contrário
1500,0.05799649001564831,Ordenada ao contrário
2000,0.1034109799657017,Ordenada ao contrário
3000,0.23481853000121192,Ordenada ao contrário
500,0.00669804000062868,Ordenada ao contrário
1000,0.02826820001937449,Ordenada ao contrário
1500,0.06411534999497234,Ordenada ao contrário
2000,0.11395836997544392,Ordenada ao contrário
3000,0.2574047700036317,Ordenada ao contrário
500,0.006378800002858042,Ordenada ao contrário
1000,0.025797449995297938,Ordenada ao contrário
1500,0.05777279002359137,Ordenada ao contrário
2000,0.10463173998286948,Ordenada ao contrário
3000,0.2319305200013332,Ordenada ao contrário
500,0.0065262700081802905,Ordenada ao contrário
1000,0.02579995000269264,Ordenada ao contrário
1500,0.057992089993786064,Ordenada ao contrário
2000,0.10392973000416532,Ordenada ao contrário
3000,0.23373349998146295,Ordenada ao contrário
500,0.006308760005049407,Ordenada ao contrário
1000,0.026760969986207785,Ordenada ao contrário
1500,0.06086159001570195,Ordenada ao contrário
2000,0.10958758002379909,Ordenada ao contrário
3000,0.24702158001018687,Ordenada ao contrário
500,0.006383650004863739,Ordenada ao contrário
1000,0.025456000014673918,Ordenada ao contrário
1500,0.05766723002307117,Ordenada ao contrário
2000,0.1037658900138922,Ordenada ao contrário
3000,0.23101830000523477,Ordenada ao contrário
500,0.006562480016145855,Ordenada ao contrário
1000,0.026874070009216666,Ordenada ao contrário
1500,0.060648710024543105,Ordenada ao contrário
2000,0.10794587002601475,Ordenada ao contrário
3000,0.24788948998320848,Ordenada ao contrário
500,0.006469240004662424,Ordenada ao contrário
1000,0.026870210003107787,Ordenada ao contrário
1500,0.06107758998405188,Ordenada ao contrário
2000,0.10899287996580824,Ordenada ao contrário
3000,0.34832736001117154,Ordenada ao contrário
500,0.006483679998200387,Ordenada ao contrário
1000,0.02698882999829948,Ordenada ao contrário
1500,0.06153390998952091,Ordenada ao contrário
2000,0.10846646000863984,Ordenada ao contrário
3000,0.34759637999814,Ordenada ao contrário
500,0.006540129985660314,Ordenada ao contrário
1000,0.02701651999959722,Ordenada ao contrário
1500,0.06197518998524174,Ordenada ao contrário
2000,0.10904021000023931,Ordenada ao contrário
3000,0.25017514001810925,Ordenada ao contrário
500,0.006679670000448823,Ordenada ao contrário
1000,0.027663350000511854,Ordenada ao contrário
1500,0.06032616001321003,Ordenada ao contrário
2000,0.1027472399873659,Ordenada ao contrário
3000,0.2384863699786365,Ordenada ao contrário
500,0.006585149967577308,Ordenada ao contrário
1000,0.02811028998112306,Ordenada ao contrário
1500,0.06837084001163021,Ordenada ao contrário
2000,0.13203255999833347,Ordenada ao contrário
3000,0.2672465900075622,Ordenada ao contrário
500,0.008676180010661482,Ordenada ao contrário
1000,0.037082079995889215,Ordenada ao contrário
1500,0.08419076000573114,Ordenada ao contrário
2000,0.14810354996006936,Ordenada ao contrário
3000,0.2798487300053239,Ordenada ao contrário
500,0.007063340034801513,Ordenada ao contrário
1000,0.027293950004968794,Ordenada ao contrário
1500,0.06647729001706466,Ordenada ao contrário
2000,0.10643912998493761,Ordenada ao contrário
3000,0.24459284999174996,Ordenada ao contrário
500,0.00626325998455286,Ordenada ao contrário
1000,0.027904030017089097,Ordenada ao contrário
1500,0.060523310012649746,Ordenada ao contrário
2000,0.10297578000463545,Ordenada ao contrário
3000,0.2365368399885483,Ordenada ao contrário
500,0.0064549999893642965,Ordenada ao contrário
1000,0.026974009978584946,Ordenada ao contrário
1500,0.06319065002026036,Ordenada ao contrário
2000,0.11224584002047777,Ordenada ao contrário
3000,0.24635827000020072,Ordenada ao contrário
500,0.006342710019089282,Ordenada ao contrário
1000,0.02682328000664711,Ordenada ao contrário
1500,0.05931946999626234,Ordenada ao contrário
2000,0.10299393001478166,Ordenada ao contrário
3000,0.2315261899959296,Ordenada ao contrário
500,0.006443060003221035,Ordenada ao contrário
1000,0.02736312000779435,Ordenada ao contrário
1500,0.06085532000288367,Ordenada ao contrário
2000,0.10830916997510939,Ordenada ao contrário
3000,0.2487364799831994,Ordenada ao contrário
500,0.006582020013593137,Ordenada ao contrário
1000,0.027250369964167475,Ordenada ao contrário
1500,0.0625784199917689,Ordenada ao contrário
